Value,CPI
7.0,144.300
6.9,144.500
6.8,144.800
6.7,145.000
6.8,145.600
6.6,146.000
6.5,146.300
6.6,146.300
6.6,146.700
6.5,147.100
6.4,147.200
6.1,147.500
6.1,147.900
6.1,148.400
6.0,149.000
5.9,149.300
5.8,149.400
5.6,149.800
5.5,150.100
5.6,150.500
5.4,150.900
5.4,151.200
5.8,151.800
5.6,152.100
5.6,152.400
5.7,152.600
5.7,152.900
5.6,153.100
5.5,153.500
5.6,153.700
5.6,153.900
5.6,154.700
5.5,155.000
5.5,155.500
5.6,156.100
5.6,156.400
5.3,156.700
5.5,157.000
5.1,157.200
5.2,157.700
5.2,158.200
5.4,158.700
5.4,159.100
5.3,159.400
5.2,159.700
5.2,159.800
5.1,159.900
4.9,159.900
5.0,160.200
4.9,160.400
4.8,160.800
4.9,161.200
4.7,161.500
4.6,161.700
4.7,161.800
4.6,162.000
4.6,162.000
4.7,162.000
4.3,162.200
4.4,162.600
4.5,162.800
4.5,163.200
4.5,163.400
4.6,163.500
4.5,163.900
4.4,164.100
4.4,164.400
4.3,164.700
4.4,164.700
4.2,164.800
4.3,165.900
4.2,166.000
4.3,166.000
4.3,166.700
4.2,167.100
4.2,167.800
4.1,168.100
4.1,168.400
4.0,168.800
4.0,169.300
4.1,170.000
4.0,171.000
3.8,170.900
4.0,171.200
4.0,172.200
4.0,172.700
4.1,172.700
3.9,173.600
3.9,173.900
3.9,174.200
3.9,174.600
4.2,175.600
4.2,176.000
4.3,176.100
4.4,176.400
4.3,177.300
4.5,177.700
4.6,177.400
4.9,177.400
5.0,178.100
5.3,177.600
5.5,177.500
5.7,177.400
5.7,177.700
5.7,178.000
5.7,178.500
5.9,179.300
5.8,179.500
5.8,179.600
5.8,180.000
5.7,180.500
5.7,180.800
5.7,181.200
5.9,181.500
6.0,181.800
5.8,182.600
5.9,183.600
5.9,183.900
6.0,183.200
6.1,182.900
6.3,183.100
6.2,183.700
6.1,184.500
6.1,185.100
6.0,184.900
5.8,185.000
5.7,185.500
5.7,186.300
5.6,186.700
5.8,187.100
5.6,187.400
5.6,188.200
5.6,188.900
5.5,189.100
5.4,189.200
5.4,189.800
5.5,190.800
5.4,191.700
5.4,191.700
5.3,191.600
5.4,192.400
5.2,193.100
5.2,193.700
5.1,193.600
5.0,193.700
5.0,194.900
4.9,196.100
5.0,198.800
5.0,199.100
5.0,198.100
4.9,198.100
4.7,199.300
4.8,199.400
4.7,199.700
4.7,200.700
4.6,201.300
4.6,201.800
4.7,202.900
4.7,203.800
4.5,202.800
4.4,201.900
4.5,202.000
4.4,203.100
4.6,203.437
4.5,204.226
4.4,205.288
4.5,205.904
4.4,206.755
4.6,207.234
4.7,207.603
4.6,207.667
4.7,208.547
4.7,209.190
4.7,210.834
5.0,211.445
5.0,212.174
4.9,212.687
5.1,213.448
5.0,213.942
5.4,215.208
5.6,217.463
5.8,219.016
6.1,218.690
6.1,218.877
6.5,216.995
6.8,213.153
7.3,211.398
